Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Name_Clean,Cluster,SVD_Component_1,SVD_Component_2,Combined_Cluster
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,pok mon yellow special pikachu edition,1,0.009689344067771067,0.012735926680593458,1
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,call of duty black ops 3,1,0.00997741934938091,0.015190991460914531,1
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,call of duty black ops,1,0.00997741934938091,0.015190991460914531,1
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,pokemon x pokemon y,1,0.00440921850802961,0.006393253978560956,1
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,call of duty black ops ii,1,0.04208860917450745,0.0851056822869907,1
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,call of duty black ops ii,1,0.04208860917450745,0.0851056822869907,1
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,call of duty modern warfare 2,1,0.006102442978662683,0.00541269279477984,1
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,call of duty modern warfare 3,1,0.006102442978662683,0.00541269279477984,1
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,grand theft auto iii,1,0.0089693507585641,0.01624504843582817,1
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,super smash bros brawl,3,0.028910276996762463,0.07397449215755307,1
Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,mario kart 7,1,0.014762199148555397,0.03323094808549166,1
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,call of duty black ops,1,0.00997741934938091,0.015190991460914531,1
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,grand theft auto v,1,0.003918967528833463,0.010054183615946437,1
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,animal crossing wild world,1,0.10985108582338159,0.11346160108860139,1
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,halo 3,1,0.0009450294652251135,0.0032937068237194923,1
Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,super mario 64,3,0.04852046024705173,0.11289393941622207,1
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,pokemon heartgold pokemon soulsilver,1,0.00440921850802961,0.006393253978560956,1
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,pokemon omega ruby pokemon alpha sapphire,1,0.003691522692571826,0.004295481831452085,1
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,gran turismo 4,1,7.578868976372908e-05,-9.724673800991304e-06,1
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,super mario galaxy,3,0.05096932622439213,0.12749482522532343,1
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,super mario land 2 6 golden coins,3,0.04169635135533115,0.10343147956983266,1
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,grand theft auto iv,1,0.005974989394245381,0.009231135264265061,1
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,gran turismo,1,7.578868976372908e-05,-9.724673800991304e-06,1
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,super mario 3d land,3,0.056878948913099796,0.12964991349608546,1
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,gran turismo 5,1,7.578868976372908e-05,-9.724673800991304e-06,1
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,call of duty modern warfare 2,1,0.006102442978662683,0.00541269279477984,1
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,super mario all stars,3,0.05661104575109885,0.1395339906214191,1
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,grand theft auto iv,1,0.005974989394245381,0.009231135264265061,1
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,pokemon firered pokemon leafgreen,1,0.00440921850802961,0.006393253978560956,1
Super Mario 64,DS,2004.0,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,super mario 64,3,0.04852046024705173,0.11289393941622207,1
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,call of duty ghosts,1,0.0064470872351022526,0.00788195343201865,1
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,just dance 3,7,-0.01593035409071335,0.09044051962251419,1
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,new super mario bros 2,3,0.043083973640438214,0.10732947845521802,1
Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,mario kart 64,1,0.018743908836350295,0.034408814107603915,1
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,halo reach,1,0.0009450294652251135,0.0032937068237194923,1
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,final fantasy vii,1,0.061054765440968516,-0.018124107499519485,1
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,343 Industries,M,halo 4,1,0.0009450294652251135,0.0032937068237194923,1
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0,Polyphony Digital,T,gran turismo 2,1,7.578868976372908e-05,-9.724673800991304e-06,1
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,just dance 2,7,-0.01593035409071335,0.09044051962251419,1
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,call of duty ghosts,1,0.0064470872351022526,0.00788195343201865,1
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,call of duty 4 modern warfare,1,0.006102442978662683,0.00541269279477984,1
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,donkey kong country,1,0.0035751998209993213,0.007847217406596566,1
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,minecraft,1,5.701642367694161e-05,0.00016814326081163587,1
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,animal crossing new leaf,1,0.004627159699203593,0.007269344383669203,1
Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,mario party ds,1,0.04582525503419221,0.10248471030220017,1
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,the elder scrolls v skyrim,1,0.00026649369762967183,0.00017689855158741982,1
Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,super mario kart,3,0.04562483265929764,0.11256153797432304,1
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,fifa 16,1,0.11244521539720047,-0.013712927301621367,1
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,halo 2,1,0.0009450294652251135,0.0032937068237194923,0
Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,wii party,1,0.01752527220983053,0.05410289199140172,1
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,mario party 8,1,0.024503330974803988,0.07784006702360993,1
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,fifa soccer 13,1,0.3467755054533205,-0.062006538531741436,1
GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,goldeneye 007,1,0.004178640513886986,0.003720429860456398,0
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,pokemon black 2 pokemon white 2,1,0.006981542828921978,0.012115384559182199,1
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,final fantasy x,1,0.089798245255251,-0.02673791571203833,1
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,the sims 3,1,-0.003512495601160035,0.046967507904729436,1
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,mario sonic at the olympic games,1,0.017423353533001538,0.029977331043043474,1
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,star wars battlefront 2015,9,0.10190654454635323,0.29569796014085487,1
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,final fantasy viii,1,0.06892254027357889,-0.020851617482780978,1
Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,pac man,6,0.04935660830914736,0.14480543768012252,0
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,pok mon platinum version,1,0.002191818891641956,0.006085136587454127,1
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,grand theft auto liberty city stories,1,0.004496168300006284,0.0107433755806427,1
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,call of duty advanced warfare,1,0.004956847110368208,0.0037113741254191186,1
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,the legend of zelda ocarina of time,1,0.006927047208111767,0.018905817285610957,0
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,fifa 17,1,0.1097742543221983,-0.012152796690121686,1
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,crash bandicoot 2 cortex strikes back,1,0.0009778190416575795,0.0005551850808048341,0
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,super smash bros for wii u and 3ds,3,0.027401095783366018,0.06525836769459605,0
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,super mario galaxy 2,3,0.05096932622439213,0.12749482522532343,0
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,super mario bros 2,3,0.04928356104622733,0.12484638961883181,0
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,call of duty black ops 3,1,0.00997741934938091,0.015190991460914531,0
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,call of duty world at war,1,0.13667002928214028,0.14048546029485048,0
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,battlefield 3,1,0.0012372999297028486,0.002511891561553993,0
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,need for speed underground,1,0.01582403183855983,0.012410901123077299,0
Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0,Ubisoft Paris,E10+,just dance,7,-0.01593035409071335,0.09044051962251419,0
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,battlefield 3,1,0.0012372999297028486,0.002511891561553993,0
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,fallout 4,1,0.0003137206454865011,0.0019887446260144362,0
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,tekken 3,1,0.0012953359456327118,0.00026100068237567425,0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0,Nintendo,T,the legend of zelda twilight princess,1,0.004533717201273359,0.011611726293307267,0
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,,pokemon sun moon,1,0.005542715285584031,0.008331627066232356,0
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,crash bandicoot 3 warped,1,0.001142310282096295,0.0006456905271018553,0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,mario kart 8,1,0.014762199148555397,0.03323094808549166,0
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,super smash bros melee,3,0.02575344042807434,0.06591527135261752,0
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,,mario kart double dash,1,0.013321621648980883,0.028054603563821633,0
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,need for speed underground 2,1,0.01582403183855983,0.012410901123077299,0
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,medal of honor frontline,1,0.0019336495923438113,0.0024444363518055334,0
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,,crash bandicoot,1,0.001142310282096295,0.0006456905271018553,0
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,just dance 4,7,-0.01593035409071335,0.09044051962251419,0
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,gears of war 2,1,0.013985700159815664,0.01378697584913056,0
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,uncharted 3 drake s deception,1,0.0009926785860268877,0.0013640459645712548,0
Zumba Fitness,Wii,2010.0,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,,,tbd,,"Pipeworks Software, Inc.",E,zumba fitness,1,0.0033897491689410123,0.004169783789954643,0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,call of duty 4 modern warfare,1,0.006102442978662683,0.00541269279477984,0
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,uncharted 2 among thieves,1,-2.6439604387602854e-05,0.00042450151072602704,0
FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,fifa 12,1,0.12644407791541581,-0.01883937370225544,1
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,big brain academy,1,0.009121476777737843,0.01191127554081509,0
The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,,the legend of zelda,1,0.00550413728421451,0.014917679981732922,0
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,red dead redemption,1,0.0006003301374935974,0.017468941447255845,0
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,fifa 14,1,0.1289409663277884,-0.019312401902491564,0
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,assassin s creed iii,1,0.013727355316180889,0.014519098734568511,0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,donkey kong country returns,1,0.004168826202690136,0.0066885435539741425,0
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,halo combat evolved,1,0.002869684479993706,0.005493665568119984,0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,the elder scrolls v skyrim,1,0.00026649369762967183,0.00017689855158741982,0
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9,222.0,Game Freak,E,pok mon emerald version,1,0.0024350504634632233,0.006717060080304946,0
